,type,Bathrooms,rooms_available,Electricity,Internet,cluster
241,2,0.0,0.23076923076923078,0,0,2
242,2,0.0,0.23076923076923078,0,0,2
243,3,0.25,0.38461538461538464,0,0,0
244,3,0.125,0.3076923076923077,0,0,0
245,3,0.125,0.23076923076923078,0,0,0
246,3,0.0,0.15384615384615385,0,0,0
247,3,0.125,0.38461538461538464,0,0,0
248,3,0.125,0.3076923076923077,0,0,0
249,3,0.125,0.38461538461538464,0,0,0
250,2,0.125,0.07692307692307693,0,0,2
251,3,0.125,0.38461538461538464,0,0,0
252,3,0.25,0.3076923076923077,0,0,0
253,3,0.0,0.23076923076923078,0,0,0
254,3,0.0,0.23076923076923078,0,0,0
255,3,0.125,0.38461538461538464,0,0,0
256,2,0.0,0.15384615384615385,0,0,2
257,3,0.0,0.15384615384615385,0,0,0
258,3,0.125,0.3076923076923077,0,0,0
261,2,0.125,0.23076923076923078,0,0,2
262,2,0.125,0.23076923076923078,0,0,2
264,3,0.125,0.4615384615384616,0,0,0
265,3,0.125,0.38461538461538464,0,0,0
266,3,0.125,0.3076923076923077,0,0,0
268,3,0.125,0.3076923076923077,0,0,0
269,3,0.125,0.3076923076923077,0,0,0
270,3,0.25,0.6923076923076923,0,0,0
271,3,0.0,0.23076923076923078,0,0,0
272,3,0.0,0.15384615384615385,0,0,0
273,3,0.125,0.38461538461538464,0,0,0
274,3,0.0,0.0,0,0,0
275,3,0.0,0.0,0,0,0
278,3,0.25,0.4615384615384616,0,0,0
279,3,0.125,0.38461538461538464,0,0,0
282,2,0.0,0.0,0,0,2
283,1,0.0,0.0,0,0,2
284,2,0.0,0.07692307692307693,0,0,2
285,2,0.0,0.07692307692307693,0,0,2
286,2,0.0,0.07692307692307693,0,0,2
287,2,0.0,0.0,0,0,2
288,2,0.0,0.0,0,0,2
289,2,0.0,0.0,0,0,2
290,2,0.0,0.0,0,0,2
291,2,0.0,0.0,0,0,2
292,2,0.0,0.0,0,0,2
293,2,0.0,0.0,0,0,2
295,2,0.0,0.0,0,0,2
